angleToItem,distanceToItem,current_direction,current_direction_top_blocked,current_direction_right_blocked,current_direction_bottom_blocked,current_direction_left_blocked,direction
-12.53,9.22,3.0,-1.0,1.0,-1.0,-1.0,0.0
-11.31,10.2,0.0,-1.0,1.0,-1.0,-1.0,0.0
-5.71,10.05,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,10.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,9.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,8.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,7.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,6.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,5.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,4.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,3.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0
-115.02,16.55,0.0,-1.0,-1.0,-1.0,1.0,0.0
-116.57,15.65,0.0,-1.0,-1.0,1.0,-1.0,0.0
-118.3,14.76,0.0,-1.0,-1.0,1.0,-1.0,0.0
-120.26,13.89,0.0,-1.0,-1.0,1.0,-1.0,0.0
-122.47,13.04,0.0,-1.0,-1.0,1.0,-1.0,0.0
-124.99,12.21,0.0,-1.0,-1.0,1.0,-1.0,0.0
-127.87,11.4,0.0,-1.0,-1.0,1.0,-1.0,0.0
-131.19,10.63,0.0,-1.0,-1.0,1.0,-1.0,0.0
-135.0,9.9,0.0,-1.0,-1.0,1.0,-1.0,0.0
-139.4,9.22,0.0,-1.0,-1.0,1.0,-1.0,0.0
-144.46,8.6,0.0,-1.0,-1.0,1.0,-1.0,0.0
-150.26,8.06,0.0,-1.0,-1.0,1.0,-1.0,0.0
-156.8,7.62,0.0,-1.0,-1.0,1.0,-1.0,0.0
-164.05,7.28,0.0,-1.0,-1.0,1.0,-1.0,0.0
-171.87,7.07,0.0,-1.0,-1.0,1.0,-1.0,3.0
180.0,7.0,3.0,-1.0,-1.0,1.0,-1.0,3.0
180.0,6.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,5.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,4.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,3.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,2.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,1.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
0.0,0.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
79.38,16.28,3.0,-1.0,1.0,-1.0,-1.0,3.0
75.96,16.49,3.0,-1.0,1.0,-1.0,-1.0,2.0
72.65,16.76,2.0,-1.0,1.0,-1.0,-1.0,2.0
71.57,15.81,2.0,1.0,-1.0,-1.0,-1.0,2.0
70.35,14.87,2.0,1.0,-1.0,-1.0,-1.0,2.0
68.96,13.93,2.0,1.0,-1.0,-1.0,-1.0,2.0
67.38,13.0,2.0,1.0,-1.0,-1.0,-1.0,1.0
65.56,12.08,1.0,1.0,-1.0,-1.0,-1.0,1.0
70.02,11.7,1.0,-1.0,-1.0,-1.0,1.0,1.0
